Date,County,ED Visit Count,Hospitalization Count
6/20/2020,Allen,14,3
6/21/2020,Allen,9,1
6/22/2020,Allen,11,5
6/23/2020,Allen,15,7
6/24/2020,Allen,5,3
6/25/2020,Allen,17,5
6/26/2020,Allen,17,7
6/27/2020,Allen,9,4
6/28/2020,Allen,7,3
6/29/2020,Allen,7,4
6/30/2020,Allen,7,2
7/1/2020,Allen,8,3
7/2/2020,Allen,9,5
7/3/2020,Allen,7,2
7/4/2020,Allen,4,3
7/5/2020,Allen,6,3
7/6/2020,Allen,12,6
7/7/2020,Allen,11,6
7/8/2020,Allen,6,1
7/9/2020,Allen,7,3
7/10/2020,Allen,8,1
7/11/2020,Allen,8,0
7/12/2020,Allen,8,2
7/13/2020,Allen,9,4
7/14/2020,Allen,14,9
7/15/2020,Allen,8,5
7/16/2020,Allen,17,6
7/17/2020,Allen,11,7
7/18/2020,Allen,10,1
7/19/2020,Allen,12,4
7/20/2020,Allen,10,3
7/21/2020,Allen,8,4
7/22/2020,Allen,8,3
7/23/2020,Allen,9,4
7/24/2020,Allen,11,5
7/25/2020,Allen,8,2
7/26/2020,Allen,10,0
7/27/2020,Allen,10,4
7/28/2020,Allen,14,4
7/29/2020,Allen,20,5
7/30/2020,Allen,12,5
7/31/2020,Allen,12,6
8/1/2020,Allen,8,5
8/2/2020,Allen,11,5
8/3/2020,Allen,5,3
8/4/2020,Allen,11,7
8/5/2020,Allen,11,1
8/6/2020,Allen,14,3
8/7/2020,Allen,12,5
8/8/2020,Allen,6,5
8/9/2020,Allen,10,4
8/10/2020,Allen,11,3
8/11/2020,Allen,10,3
8/12/2020,Allen,18,6
8/13/2020,Allen,10,3
8/14/2020,Allen,11,6
8/15/2020,Allen,8,2
8/16/2020,Allen,6,3
8/17/2020,Allen,10,2
8/18/2020,Allen,9,3
8/19/2020,Allen,8,4
8/20/2020,Allen,16,3
8/21/2020,Allen,8,3
8/22/2020,Allen,5,5
8/23/2020,Allen,6,4
8/24/2020,Allen,9,3
8/25/2020,Allen,6,3
8/26/2020,Allen,9,3
8/27/2020,Allen,13,5
8/28/2020,Allen,6,5
8/29/2020,Allen,7,2
8/30/2020,Allen,11,2
8/31/2020,Allen,13,1
9/1/2020,Allen,9,3
9/2/2020,Allen,9,5
9/3/2020,Allen,10,3
9/4/2020,Allen,7,5
9/5/2020,Allen,8,4
9/6/2020,Allen,13,6
9/7/2020,Allen,16,2
9/8/2020,Allen,10,5
9/9/2020,Allen,11,3
9/10/2020,Allen,12,4
9/11/2020,Allen,10,5
9/12/2020,Allen,7,0
9/13/2020,Allen,11,6
9/14/2020,Allen,13,3
9/15/2020,Allen,8,5
9/16/2020,Allen,8,1
9/17/2020,Allen,15,5
9/18/2020,Allen,6,2
9/19/2020,Allen,11,4
9/20/2020,Allen,11,7
9/21/2020,Allen,12,5
9/22/2020,Allen,9,4
9/23/2020,Allen,8,6
9/24/2020,Allen,12,5
9/25/2020,Allen,11,5
9/26/2020,Allen,7,4
9/27/2020,Allen,7,3
9/28/2020,Allen,9,5
9/29/2020,Allen,10,4
9/30/2020,Allen,10,4
10/1/2020,Allen,10,3
10/2/2020,Allen,5,4
10/3/2020,Allen,14,6
10/4/2020,Allen,11,4
10/5/2020,Allen,11,6
10/6/2020,Allen,22,10
10/7/2020,Allen,12,6
10/8/2020,Allen,9,2
10/9/2020,Allen,9,7
10/10/2020,Allen,13,1
10/11/2020,Allen,12,6
10/12/2020,Allen,14,5
10/13/2020,Allen,10,9
10/14/2020,Allen,9,9
10/15/2020,Allen,10,6
10/16/2020,Allen,13,14
10/17/2020,Allen,16,9
10/18/2020,Allen,15,4
10/19/2020,Allen,13,7
10/20/2020,Allen,30,12
10/21/2020,Allen,17,11
10/22/2020,Allen,13,10
10/23/2020,Allen,17,9
10/24/2020,Allen,20,9
10/25/2020,Allen,14,2
10/26/2020,Allen,25,7
10/27/2020,Allen,25,8
10/28/2020,Allen,26,7
10/29/2020,Allen,23,7
10/30/2020,Allen,21,3
10/31/2020,Allen,27,10
11/1/2020,Allen,19,9
11/2/2020,Allen,28,16
11/3/2020,Allen,30,14
11/4/2020,Allen,40,9
11/5/2020,Allen,34,14
11/6/2020,Allen,32,11
11/7/2020,Allen,42,14
11/8/2020,Allen,27,8
11/9/2020,Allen,45,19
11/10/2020,Allen,48,25
11/11/2020,Allen,66,14
11/12/2020,Allen,50,22
11/13/2020,Allen,50,24
11/14/2020,Allen,58,12
11/15/2020,Allen,55,19
11/16/2020,Allen,66,26
11/17/2020,Allen,59,17
11/18/2020,Allen,52,12
11/19/2020,Allen,48,16
11/20/2020,Allen,58,16
11/21/2020,Allen,24,14
11/22/2020,Allen,26,4
11/23/2020,Allen,58,21
11/24/2020,Allen,36,10
11/25/2020,Allen,48,12
11/26/2020,Allen,47,10
11/27/2020,Allen,47,26
11/28/2020,Allen,46,16
11/29/2020,Allen,47,21
11/30/2020,Allen,60,21
12/1/2020,Allen,52,19
12/2/2020,Allen,47,14
12/3/2020,Allen,53,15
12/4/2020,Allen,41,18
12/5/2020,Allen,44,11
12/6/2020,Allen,19,2
3/1/2020,Bartholomew,1,0
3/2/2020,Bartholomew,1,0
3/3/2020,Bartholomew,0,0
3/4/2020,Bartholomew,0,0
3/5/2020,Bartholomew,1,0
3/6/2020,Bartholomew,1,1
3/7/2020,Bartholomew,0,0
3/8/2020,Bartholomew,0,0
3/9/2020,Bartholomew,0,0
3/10/2020,Bartholomew,0,0
3/11/2020,Bartholomew,1,1
3/12/2020,Bartholomew,1,0
3/13/2020,Bartholomew,0,0
3/14/2020,Bartholomew,0,0
3/15/2020,Bartholomew,0,0
3/16/2020,Bartholomew,0,0
3/17/2020,Bartholomew,0,0
3/18/2020,Bartholomew,1,0
3/19/2020,Bartholomew,0,0
3/20/2020,Bartholomew,0,0
3/21/2020,Bartholomew,1,0
3/22/2020,Bartholomew,0,0
3/23/2020,Bartholomew,1,0
3/24/2020,Bartholomew,0,0
3/25/2020,Bartholomew,0,0
3/26/2020,Bartholomew,4,3
3/27/2020,Bartholomew,1,0
3/28/2020,Bartholomew,5,3
3/29/2020,Bartholomew,3,1
3/30/2020,Bartholomew,1,0
3/31/2020,Bartholomew,3,2
4/1/2020,Bartholomew,2,1
4/2/2020,Bartholomew,1,1
4/3/2020,Bartholomew,4,1
4/4/2020,Bartholomew,2,1
4/5/2020,Bartholomew,2,1
4/6/2020,Bartholomew,3,1
4/7/2020,Bartholomew,2,0
4/8/2020,Bartholomew,2,1
4/9/2020,Bartholomew,2,1
4/10/2020,Bartholomew,3,3
4/11/2020,Bartholomew,4,1
4/12/2020,Bartholomew,2,1
4/13/2020,Bartholomew,2,0
4/14/2020,Bartholomew,0,0
4/15/2020,Bartholomew,1,1
4/16/2020,Bartholomew,0,0
4/17/2020,Bartholomew,3,2
4/18/2020,Bartholomew,4,1
4/19/2020,Bartholomew,2,1
4/20/2020,Bartholomew,2,2
4/21/2020,Bartholomew,5,2
4/22/2020,Bartholomew,1,2
4/23/2020,Bartholomew,5,3
4/24/2020,Bartholomew,1,1
4/25/2020,Bartholomew,8,4
4/26/2020,Bartholomew,3,2
4/27/2020,Bartholomew,6,3
